,content
1,왜 늙은 남자가 이엘리를 위해 피를 공급하고 자신의 피까지 주나했는데 나중에 그 남자 또한  오스칼과 똑같이 이엘리를 사랑했던 아이였고 이엘리가 계속 12살인데 반해 남자는 계속 나이가 들었던거다. 오스칼 또한 그 ...
2,늙은 남자가 살인을 꾀하는 모습이
3,긴 적막으로 가득찬 그녀의 삶에 소년은 그저 짧은 노크일것이다. 영화를 보고난 후에 그게 가장 가슴아팠다.
4,몽환적인 연출미때문에 영화는 물론이고 끝나고나서도 여운이잘안가시네..
5,왜이렇게 안타깝고
6,사랑을 위해 목숨을 내어준 노인이 제일 기억에 남는다. .
7,서로 얽혀선 안되는 치명적인 사랑....분위기가 애틋하지만 적막하다.
8,저기죄송한데늙은남자는오스카처럼소년때부터이엘리와산게아니라소아성애자입니다.일종의계약같은걸한거예요영화엔안나와있지만책에는나와있어요.
9,몽환적이면서도 신비스러운 색채의 영화.. 그냥 볼 땐 잘 몰랐는데.. 리뷰 등을 보면 곱씹으니 아름답고 슬픈 이야기..
10,이엘리가 사탕을 먹고 토하자 오스카가 안아주는 장면
11,이 영화 보실 분들은 스웨덴 버전 (2008년) 꺼 먼저 보시고 미국 버전 (2010년) 꺼를 보세요 imdb 점수 스웨덴 버전 8.0점
12,왜 평점 베댓이 극악 스포냐? 네이버 알바들 관리 안하냐?
13,노인은 수OO전의 또다른 오스칼. 그렇게 생각하니 '오늘밤은 그아이 만나지마.'라고 얘기했을때 노인이 얼마나 마음이 아팠을까
14,트와일라잇이 그냥 커피라면
15,볼만한 가치가 있음.. 아역들 연기 진짜 잘하네
16,난 초대받지 못하면 들어가지 못해결국 선택은 네가 했고 받아들여야 하는 것도 너야
17,첨엔 로멘스 영화인줄 알았는데 헉~ 호러공포영화였다.. 뱀파이어소녀를 위해 평생 살인을 해서 피를 갖다바치고도 모자라 자신의 피까지 기꺼이 내어줄수 있다면.. 그건 어떤 과연 어떤 사랑이라고 할수 있을까..? 슬프다...
18,빛이 사라지면 너에게 갈게
19,끝을 알면서도 끊어질 수 없는 관계
20,아름답습니다.  참 흡혈귀 이야기로 이보다 더 아름다울 수 있을까요
21,뱀파이어를 호러의 대상이 아닌
22,에일리는 사람을 홀린  뒤  사용하는  요물.
23,사람을 세번이나 충격받게 만드는 영화. 당연히 아빠인줄 알았던 노인의 정체를 알았을때 한번
24,앞으로 기대되는 감독이군요.밑의 추천글들보단 감동이 덜해 8점 줍니다.하지만 스토리의 독창성이 괜찮습니다.마지막으로 슬픈 부분도 나오긴 하지만 결말이 슬프진 않군요오히려 감독은 영화의 결론을 보는이에게 맡긴 열린 결...
25,서정적이고 잔인한 한편의 시
26,개봉 첫 날 영화관에서 봤는데 까만 스크린 화면에 눈꽃이 휘날리던게 아직도 생생하게 기억에 남음
27,영화  잼이있다  ㅜㅜ근데 여자아이가  남자아이 봐꿔가면서  늙어 필요없어 질때까지 이용해 먹는단  생각이 든다
28,잔인하게 아름답다. 외로움이 증폭제가 되어 사랑이 싹트고 그 사랑은 이 세상과 끝없는 싸움을 해나간다. 결국 누군가는 계속 희생될 수밖에 없는 이기적인 사랑 .. 그래서 더욱 슬프다. 훌륭한 연출
29,아름답고도 매혹적인 영화.
30,마지막 기차 안에서 오스칼과 이엘리가 주고 받은 모스 부호가 '키스' '키스' 래요 !
31,오스칼의 미래가 혹여나 그 늙은 남자 처럼 될지라도 또는 뭔 미래에 후회하게 될지라도 과거로 다시 돌아가서 이엘리를 만나게 된다면 또 한번 이엘리를 사랑 할 것이라는 생각이 든다.
32,9점은 됩니다....
33,오스카가 그 남자랑 똑같이 된다고 하는데 그건 아님. 그 남자는 원래 소아성애자였고 교사에서 쫓겨난 뒤 이엘리랑 어떤 '계약'을 하게 돼서 같이 산 거. 오스카와랑은 관계부터가 다름.
34,가장 지혜로운 사람은
35,대박. 이걸 먼저 보고
36,솔직히  에일리 보다 오스카가 더 예뻤다...
37,슬프지만 아름다운 사랑이야기인 줄 알앗다. 헌데 기괴하고 잔혹한 사랑이야기엇다. 로미오와 줄리엣 만큼이나 비극이지만 더 슬픈건 소년의 일방적인 비극이라는 걱이다. 아니 어쩌면 남자가 기꺼이 피를주고 죽엇듯이 비극처럼...
38,5년전에 이영화를 처음봤었는데..그당시에 신비하고 아름다운영상미를 모니터로 보고있다는게 너무너무 아쉬웠는데 재개봉을하다니..감사합니다 정말ㅠ 이건꼭 영화관에서 봐야됨..엔딩크레딧이 올라갈때쯤 말로 형용할수없는 먹먹함...
39,특유의 분위기와 처음에 전혀 이해되지않던 부분들이 영화가끝나갈때쯤 맞물려가면서 소름이 쫙 돋네요.. 영화 본사람만 아는 그런 느낌
40,헐리웃은 조연부터 그래픽까지 스웨덴편 이상의 기량을 보여줬다. 하지만 은근한 분위기와 의외의 현실감은 따라잡지 못했다
41,간만에본 영화같은영화...
42,감성은 역시 원작인 스웨덴판이 압도적이다
43,차갑고 절제된 사랑영화. .우리는 상대방의 상처를 어디까지 안아줄 수 있는가
44,아련함이 가시질 않아 원작 소설까지 구입해서 주말동안 전부 읽어 버렸습니다. 헐리우드가 흡수할수 없는 매우 희기하고 기묘한 영화입니다. 소설을 추천드려요 좀더 세세하고 많은걸 묘사하고있어요
45,네이버 영화선물 덕에 보게 된 영화. 금발에 환장하는 이유를  알 것 같음 . 카레헤레브란트의 헤어 정말 좋다
46,적절한 때 개봉한 차갑지만 따뜻한 영화. 트와일라잇 같은 뱀파이어 시리즈와는 비교불가
47,내가 극찬하는 몇 안되는 영화 중 하나.급식들은 좀 지루해 할 수도 있을 듯.
48,이승연이 엿같이느껴지는 이유가 이영화 제목으로 성형예능을 만들고 렛미인이란 뜻이 되버려서다..내인생 두번째 사랑에대한 해석의 명작
49,뮌가 애절한 영화인데 하나씩 따져보면 잔인한 영화인듯. 아빠는 게이고 아들은 첫사랑이 뱀파이어에다가 그 뱀파이어는 자신을 위해 피를 구해줄 사람 물색하듯 우연히 새파란놈 만나고 그 시점에서 하필이면  늙은 피 물주는...
50,아주 재미있게 보았다 우흥
51,엔딩이 해피엔딩을 가장한 새드엔딩..
52,스웨덴 렛미인. 내 인생영화중 하나.
53,아.. 무시무시하게 여운남게 하는 영화네.
54,이 영화 진짜 대박인데 .. 평론가들? 이라고 지들이 불르는 사람들 평점리뷰보면 ㅋㅋ 웃긴다 ㅋㅋ 누가 누가 더 멋있어 보이게 쓰나 시합하는중 ㅋㅋ
