,content,,,,,,,,,,,,,,,,,
1,교환 온 스웨덴 친구가 자기네 마을 가자고 하는데 가도 괜찮나요,,,,,,,,,,,,,,,,,
2,배드신보다가 영화관 단체로 터짐,,,,,,,,,,,,,,,,,
3,존윅이 무장한체로.. 이 마을에 왔다는 가정으로 2편이 나왔으면 좋겠습니다. 카타르시스 1000배 는 느낄듯..,,,,,,,,,,,,,,,,,
4,보다가 정신병 걸릴 것 같았음..,,,,,,,,,,,,,,,,,
5,지옥에 갔는데 배경이 밝으면 벌어지는 일,,,,,,,,,,,,,,,,,
6,감독 대가리에 뭐들었는지 궁금하다,,,,,,,,,,,,,,,,,
7,고어영화 원래 X같은 맛에 보는건데,,,,,,,,,,,,,,,,,
8,이거야 원 무서워서 스웨덴친구 사귀겠나,,,,,,,,,,,,,,,,,
9,절벽 이후 두명 나감 ..따라 나갈뻔,,,,,,,,,,,,,,,,,
10,느껴져요 ! 아기가 느껴져요 !,,,,,,,,,,,,,,,,,
11,보고나서 어지러워미치겠음 존나 충격적,,,,,,,,,,,,,,,,,
12,무섭다기 보다는 기괴함에서 오는 불편한 느낌!,,,,,,,,,,,,,,,,,
13,공황장애있는분들은 절대보지마세요..,,,,,,,,,,,,,,,,,
14,유전에는 진짜 악마가 존재했고,,,,,,,,,,,,,,,,,
15,호불호 확실히 갈릴 거예요. 호흡이 느린 걸 안 좋아하는 분들,,,,,,,,,,,,,,,,,
16,불안이 광기를 만나 평온을 찾는 끔찍한 이야기.,,,,,,,,,,,,,,,,,
17,저 마을에 존윅을 투입해야 합니다,,,,,,,,,,,,,,,,,
18,진짜그냥 미친거같다..,,,,,,,,,,,,,,,,,
19,유전보다 기괴하고 고어틱함. 이번에는 청불 등급이라 정말 다행임. 아래 평가들 중 밝은 지옥에 댕겨온거같다는 말 공감함. 오늘 오전 이 시간부터 영화 속에서 봤던 묵직한 장면 하나하나가 잔상으로 계속 남을듯... 영...,,,,,,,,,,,,,,,,,
20,크레딧 올라갈때 나오는 음악은 Frankie Valli의 'The sun ain't gonna shine'입니다. 모르시는분들이 볼수있게 위로 올려주세요.,,,,,,,,,,,,,,,,,
21,마지막 장면에서 경쾌한 음악과 함께 흐뭇하게 보고있는 나 자신을 보고 소름돋았다 처음엔 사이비가 이질감이 들었는데 나중엔 일반인이 더 이질감이든다 사이비종교가 왜 무서운지 어떤것들이 망가지고 무너지는지 잘 표현한 영...,,,,,,,,,,,,,,,,,
22,사이비종교에 빠지는 심리가 뭔지 엿보이던 영화,,,,,,,,,,,,,,,,,
23,데이트할 때 보면 좋은 영화! 허허,,,,,,,,,,,,,,,,,
24,이건 미친짓이야 난 여기서 빠져나가야겠어,,,,,,,,,,,,,,,,,
25,근데 예고편에 발이 공중부양하는 씬 있었는데 영화에 있었나요? 왜 못본것같지..,,,,,,,,,,,,,,,,,
26,상당히 호불호 갈릴거 같은 영화. 아름다운 대낮의 고어영화,,,,,,,,,,,,,,,,,
27,2시간이 넘는 동안 천재변태감독이보여주는 지옥행체험영화ㅋㅋ 시사회때봤는데도 장면들이 너무강렬해서 그런지 끝나고나서 아직도 잔상에남음...,,,,,,,,,,,,,,,,,
28,아 펠레...? 어 팰래,,,,,,,,,,,,,,,,,
29,남.녀의 성기를 야동이 아닌 극장에서 이렇게 보기는 처음같다,,,,,,,,,,,,,,,,,
30,우리나라의 얼이 담겨있다 강강술래~!,,,,,,,,,,,,,,,,,
31,영화속 제물중 하나는 관객이었다. 된장.,,,,,,,,,,,,,,,,,
32,호러를 이렇게 찍다니.. 감독 천재 아니면 변태다,,,,,,,,,,,,,,,,,
33,크리스챤 야마돌게 만드네,,,,,,,,,,,,,,,,,
34,이런 영화를 극장에서 볼 수 있었다는 것이 신기하고도 좋았습니다. 한번쯤은 경험해봐도 좋은 찬란한 지옥 ㅋㅋ 추천요,,,,,,,,,,,,,,,,,
35,이것만은 확실하다 호불호는 확실히 갈릴 영화. 잔인하고 멍하고 피폐한 거 싫어하고 밝은 거 좋아하는 사람은 절대 보지 말기를. 개인적으로는 정신적으로 극한까지 휘몰아치는 영화를 보며 얻는 극적 경험 카타르시스를 좋아...,,,,,,,,,,,,,,,,,
36,보지마세요 이유가 궁금하면 보세요,,,,,,,,,,,,,,,,,
37,근데 마을사람들이랑 남친 친구가 주인공한테 다정하게 대하고 이해하려하는데 이런 상술은 길거리에서 종교권유하는 사람들이랑 진짜로 말투 똑같습니다..:( 그런식으로 사람 현혹시키는 수법입니다..,,,,,,,,,,,,,,,,,
38,유전으로 입지 다지고 미드소마에서는 감독 하고 싶은 거 다 표현한 듯하다. 다 떠나서 이런 영화를 앞으로 또 볼 수 있을까 싶음.,,,,,,,,,,,,,,,,,
39,유전 믿고 갔다 정신줄 간신히 잡고 극장에서 나왔습니다. 오컬트란 이런거군요. 왠만한 정신력으로 버티기 힘든 영화입니다. 스웨덴 하지제라는 축제(?)라니... 와우 절벽 장면과 교접(?) 장면은 충격 그 자체,,,,,,,,,,,,,,,,,
40,정말정말 진심으로 이영화를 보시려는분들께 말씀드립니다. 호러도예술도뭣도 아니고 그냥 또라이같고 지루하고 더럽고 정신병걸릴거같은 영화입니다. 여러사람들의 시간낭비돈낭비 무엇보다 정신적 피해를 막기 위해 일부러 들어와서...,,,,,,,,,,,,,,,,,
41,3년 사귄 여자친구랑 처음으로 저녁 안먹고 주말데이트 종료했습니다,,,,,,,,,,,,,,,,,
42,실제로 스웨덴에 가서 기이한 의식 체험을 하고 온 기분...  이건 제대로 미쳤다!,,,,,,,,,,,,,,,,,
43,몸안좋을때 약먹고 소주먹어서 어지럽고 토할것같을때의 불쾌함. 문화의 상대성을 어디까지 이해해주는걸까하는 미친주인공들 그럼에도 불구하고 잊혀지지가 않음 강렬함사람들이 왜 집단최면에 걸리고 사이비종교에 의탁하게 되는지 ...,,,,,,,,,,,,,,,,,
44,스웨덴 한가위 영화. 눈 졸라 아픔.,,,,,,,,,,,,,,,,,
45,뭐 교훈도 없고 감동도 없고 의미도 없고 그냥 원시신앙의 병SIN스러움과 시체의 잔인한 장면으로 시선 자극해서 뭐 있어보이려한 영화. 여기서 의미를 찾자면 비틀린 원시신앙속에 악마숭배와 그걸 가능케하는 자아도취가 적...,,,,,,,,,,,,,,,,,
46,유전보단 재미없지만 이 감독 특유의 기빨리고 정신 피폐해지는 연출은 여전한듯,,,,,,,,,,,,,,,,,
47,처음으로 후기날린다 멘탈에 해롭다 정신이상해진다,,,,,,,,,,,,,,,,,
48,별로입니다 !.!.!.!.!,,,,,,,,,,,,,,,,,
49,너무너무 지루했습니다.,,,,,,,,,,,,,,,,,
50,캐나다에서 봤는데 3일이 지나도 계속 모든 장면이 생각나  살려줘,,,,,,,,,,,,,,,,,
51,스웨덴은 그냥 무늬일뿐. 컬트집단 간접체험 한 느낌. 대체 그 기분 좋아지는 차가 뭔지 궁금하다.. 암튼 모르는 사람이 주는 음료는 마시지 맙시다.,,,,,,,,,,,,,,,,,
52,미드소마 요약댄스경진대회 나가서 고인물들 제치고 우승한 여주인공이 마을여왕이되어 남친을 땔감으로 캠프파이어함,,,,,,,,,,,,,,,,,
53,새로웠지만 역겨웠어요,,,,,,,,,,,,,,,,,
54,대니에게는 그곳이 안식처가 될까요?,,,,,,,,,,,,,,,,,
55,또라이 같지만 내 취향..,,,,,,,,,,,,,,,,,
56,아... 찝찝해 전혀 무섭지 않아 괴상하기만해 유전 감독이라 기대했는데 ;;; 영화보는 목적이 스트레스 받는거라고 생각하는 사람은 꼭 보세요^^! 그런 사람들에게 추천^^;,,,,,,,,,,,,,,,,,
57,색다르고 섬뜩한 공포영화 대니가 행복하길 바랬는데 이런식으로 행복해지는 건 바라지 않았다,,,,,,,,,,,,,,,,,
58,마약 한사발 들이키고 영화 본 기분,,,,,,,,,,,,,,,,,
59,미드소마 축제 내내 이질감이 들면서 묘한 긴장감이 떠나가질 않았음. 여주랑 여자주민들이랑 같이 울때 너무 기괴하고 소름끼쳤음,,,,,,,,,,,,,,,,,
60,몽환적이고 아름다운 색채속에 숨겨져 있는 인간의 잔인함.. 그리고 자신이 믿는것에 질문을 던지지 않는 자들의 단체가 어떤 추악한 짓을 저지를 수 있는지를 역설적으로 보여주는 영화,,,,,,,,,,,,,,,,,
61,의미를 전달하고자 한거라면 생각자체가 굉장히 미개하고 원시적인 것이며,,,,,,,,,,,,,,,,,
62,살다살다 엉덩이 밀어주는건 첨봤네,,,,,,,,,,,,,,,,,
63,배드신에서 정말 다들 빵터짐,,,,,,,,,,,,,,,,,
64,내가 뭘 본 걸까 했습니다,,,,,,,,,,,,,,,,,
65,보고나면 기분이 나빠져요,,,,,,,,,,,,,,,,,
