,content,,,,,,,,,,
1,둘째는 왜케 신경들을 안써주는거임?,,,,,,,,,,
2,성동일 침대씬이 젤무서웠다...ㄷㄷㄷ,,,,,,,,,,
3,왜 등장했는지 모르겠는 백윤식 선생님...이런 상황에 집 안에서 왜 다 따로 있는건지... 말이 안 돼ㅡㅡ  사고 날 때 백윤식 선생님 비롯해서 기도고 뭐고 아무것도 안 해... 너무 설득력 없는 부분이 많음. 의...,,,,,,,,,,
4,가족이 서로 못믿을때 심리적으로 무서운게 좋았음,,,,,,,,,,
5,가장 안전하다고 생각한 집을 공포의 현장으로 설정해서 더 무섭게 느껴졌다,,,,,,,,,,
6,용두사미...배우들 연기는 좋았으나 중반부터 급격하게 스토리 개연성 떨어지고..만들다만 느낌..영화소개 프로에 나온 내용이 다임요..가정집에 화장터인지..화덕인지는 왜 있으며..백윤식은 대체 왜 나온건지...외국어 ...,,,,,,,,,,
7,결말이 조금 갑작스럽긴 했으나 나쁘지는 않음. 둘째 딸 아무도 안찾냐 왜,,,,,,,,,,
8,아무도그냥믿지마세요,,,,,,,,,,
9,연기 정말 좋았구요 공포스러운 분위기도 좋구요. 그런데 영어쓸때는 좀 깼어요.,,,,,,,,,,
10,진짜.. 구라안치고 똥쌀뻔 했음 ㅠㅜ,,,,,,,,,,
11,미칠것 같았던 긴장감 ;;,,,,,,,,,,
12,변신을 본 내가 벼ㅇ신이었다,,,,,,,,,,
13,이 영화에서 제일 불쌍한 건 외국인 사제들이다 도와주러 왔다가 한국 구경도 못해보고 바로 황천길 구경하네,,,,,,,,,,
14,중반 이후로 어이없는 결말 사라진 둘째는 찾지도 않고 걍 어처구니가 없는 개연성..안보는게 돈 버는 길입니다,,,,,,,,,,
15,강렬한 오프닝과 초반 약 5분의 2정도지점까지는 9에서10점 정도의 빠른진행과 쫀쫀하고 긴장감있는 흥미로운연출이 돋보이다가 그 지점이 지나가면서 필리핀 나오면서부터 급격하게 무너짐.갑자기 억지스런 설정 너무 뻔한결말...,,,,,,,,,,
16,아 먼가부족한느낌 시원하지가않은기분양념하나가빠진느낌  그렇다고 맛이없진않은..그런영화였다.,,,,,,,,,,
17,팝콘사가지마세여 ;; 먹을 시간도 없음,,,,,,,,,,
18,연기 진짜 장난 없어요 ㅋㅋㅋ 공포연기ㅋㅋ,,,,,,,,,,
19,삼남매로 배우는 배우들 악마로변신한 모습은 진짜 대박이다,,,,,,,,,,
20,컨셉이 아주 좋았다. 아쉬운 점도 있지만 여름에 어울리는 영화,,,,,,,,,,
21,무슨영화를 만들다 말았냐..,,,,,,,,,,
22,공포영화 매니아인데 진짜 최악의 공포영화. 처음 소재와 배우들의 연기 때문에 기대를 하게 되고 점점 흥미진진해 지려고 하는데 백윤식 나오고 부터 전개가 다 무너짐. 가족끼리 떨어져 있지 말자면서 혼자 지하실 보내고 ...,,,,,,,,,,
23,뒷내용이 너무 허무했음.. ㅈㄴ,,,,,,,,,,
24,각본 연출같은거 괜찮았는데 호불호가 확실히 갈릴듯...,,,,,,,,,,
25,역시 간만의 쫄깃한 영화..흥행 기원,,,,,,,,,,
26,역시 성동일 믿고 봅니다,,,,,,,,,,
27,이거랑 사자재미없다고 하는사람들 제대로 본거맞음?? 왜 이렇게 한국영화만 평점박하게 주는거지?? 사자도 불주먹나올때 유치하다는데 그럼 토르가 묠니르로 번개 쏘고할땐 안유치함?? 요근래 이런 호러영화 잘없는데 되게 잘...,,,,,,,,,,
28,분노는 사탄이 제일 좋아하는 겁니다.여러분,,,,,,,,,,
29,아역들도 연기를 넘 잘함,,,,,,,,,,
30,댓글 왜이러냐 진짜,,,,,,,,,,
31,솔직히 이런영화보면 집에 귀신 나오면 그냥 밧줄로 가족들끼리 서로 손목 묶고 다니던지 아니면 바로 집나와서 찜질방가서 자던지 해야하는거아님? 왜 귀신나오고도 혼자서 지하실가고 화장실가고 하면서 죽으려고 자처함?? 하...,,,,,,,,,,
32,무섭긴한데 남는게 없다 곡성이 진짜 잘만든 영화라는걸 깨닫게되었다,,,,,,,,,,
33,다른 구마 영화보다 새로운 내용이 마음에듬 ?시간 잘가고  영화값 아깝지는 않았음,,,,,,,,,,
