,content
1,이건 정말 모든게 이해되는순간 소름이 끼침
2,비현실세계
3,공포영화로는 꽤 괜찮은 퀄리티와 긴장감
4,이건 솔직히 명작인데....
5,최고
6,이런 류의 영화는 높은 평점을 받기 쉽지 않은데 내용을 이해하면 정말 대단한 영화다.. 진짜 악마들은 집단적 광기(권력)를 가진 인간들이 불러온 것이다. 끊임없이 악마를 만들어내고 거짓 정당화를 일삼으며 마녀사냥 했...
7,레버레이션을 보고난뒤에 다시 1편에 평점 메길줄은 몰랐는데.. 그만큼 2편 완전 실망 ㅠㅠ 솔직히 1편도 평점 7점대 영화가 맞다고 보는데 2편을 보니 9점매겨주고싶어지더라 ㅠㅠ
8,전엔 몰랐는데 다시보니 내용도 이해가 가고 공포물중엔 상당한 수작인듯.
9,원작을 최대한 살려낸 명작. 크리쳐의 그 소름끼치는 분장이 인상적임
10,이거 재미없다는놈은 100% 내용 결말 이해못한 넘들 ㅋㅋ수작
11,영화 다보고 리뷰
12,서양 공포 영화는 무섭다는 생각을 안했는데 이 영화만큼은 그로테스크한 분위기와 탄탄한 시나리오로 영화가 끝난 뒤에도 여운이 오래 남는다. 영화를 보고 한달 동안 사이렌 소리가 무서울 정도..  삼각김밥 머리가 여자를...
13,재밌다 공포의 싸이렌 소리 보면 후회는 안할 영화임
14,내가 본 최고의 공포영화 중 하나. 가장 어두운 꿈속에서 본 것 같은 그런..
15,영화가 끝나고 잔상의 공포가 시작... 여러가지 공포 요소들이 배합된 잘만든 공포영화 ㅠㅠ
16,개쩌는 영화. 원작게임을 해보지 않았음에도 미친듯한 몰입감을 준 영화. 평점을 올리기 위해서라도 10점 준다. 울나라 네티즌들 영화보는 수준이란....
17,공포영화에는 왜 별점이 인색한 걸까??
18,게임을 원작으로 만든영화인데 잘만든거같네요 ㅎ
19,잔인했고 볼만했고 끌렸고 최고였음...
20,내 생애 공포영화중 단연1순위를 바꾼영화. 컨저링 이후에도 여전하다. 사일런트힐>더 로드>컨저링> 1408 >>>>넘사벽> 나머지 미만잡.
21,평점 너무 낮아서
22,깜짝 놀래키는 공포보단 다크 판타지에 가깝다.시대적 배경을 90년대로 맞추엇으면 하는 아쉬움이 있다.
23,다좋은데 여경죽음은 진짜 충격적이다
24,보고  또보고 또보고 그래도 다시 보고싶은 영화.사일런트힐이라는 게임은 모르지만..정말 재미있게 봤다.
25,개인적으로 제일 좋아하는 영화. 한 5번은 본거같다. 그정도로 스토리 탄탄하고 막 무섭다고 할 순 없지만 섬뜩함이랑 기괴함이 느껴지는 영화
26,아니 평점이 왜이래 미쳤나
27,고2때 이거 보고  며칠간 계속 생각났었음 ..
28,게임원작으로 이만큼 잘 만든 영화도 드물다
29,소름소름이 끼친다...
30,만족했다. 왜 별점이8점 못넘는지 이해안간다
31,여경죽을때가 제일 끔찍했어요 ㅠㅠ.... 여경만큼은 살아줬으면 했는데... 호러고어공포물 정말로 못보는데 사일런트힐은 정말 다 보고싶었음 분위기 연출만큼은 정말 미친 영화
32,숨은 수작 사일런트 힐 점수 좀 올려 줍시다 ..  7.6 짜리 영화는 아니잖소 ㅎㅎ
33,재미지긴 허다...근데 이런류의 영화는 가끔 보셔야합니다ㅎ혼란스러움
34,초등학교5학년때봤던영환데 정말재밌게봤고 첨으로공포영화를좋아하게됬다는..
35,공포영화중 최고봉2탄을 상당히 기대했건만...쩝..
36,정말 재밋고 괜찮게 본영화. 내가상상하던 현세계가아닌 다른세계에서의 공포를 가장 잘보여줌. 게다가 마지막의 그 찝찝함까지...완벽
37,그다지 공포스럽지 않았다. 신비롭고 퇴폐적인 느낌이 강한 영화.
38,2편까지 보고 왔다. 진짜 2편 개 쓰레기 ㅡㅡ 1편은 아주 최고! ㅡㅡ
39,공포영화 탑10은 드는거같다
40,어릴때 보고 너무 무서워서 서른된 지금도 잊지 못하는 영화. 나이 먹었어도 다시 볼 엄두가 안난다.
41,잿빛하늘에 울리는 사이렌소리가 귓가를 맴돈다. 다른건 몰라도 영상미는 압권.
42,내 인생 최고의 공포영화
43,이거랑 2편이랑 비교하면 2편은그냥 ㅡㅡ;
44,게임하곤 많이 다르지만 분위기 괜찮음
45,레지던트 어쩌고 병/신들 보다 이게 훨신낫다 아니 비교자체가 실례다...
46,특유의 몽환적인 느낌때문에 가장 좋아하는 공포 영화
47,내용도
48,명작이라고 생각한다. 공포영화만 100편 넘게 봤지만 이만큼 기억에 남는 작품도 드물다.
49,몇번을 다시 보는지.. 완벽한 악몽!
50,이런 명작을 이제보다니... 영광입니다
51,와.. ㅋㅋㅋㅋ 몇년째 반복해서 보는거지만 정말 소름..
52,평점이 정말 이해가 안가네요최고의 공포 영화 입니다
53,말이 필요없음. 엄청난 명작.
54,귀신 나와서 깜짝 놀래키는 영화진짜싫어하는데 사일런트힐은 그것과 다른
55,지금 봐도 대단한 영화. 분장이 허접하지도 않고
56,8점을 못넘기다니 너무하네.. 진심 갠적으론 명작인 영화라생각하는대.. 꼬마아이 연기력이랑
57,재개봉 안해주시니요? 꽤 좋았던 영화인데
58,어릴 때 그로테스크함으로 머리에 박힌 영화가 이 영화였다.
59,게임원작에 사람마다 뜻이다르니 9점대 영화라고는 못해도 충분히 8점중후반 받을 수작같은데.. 연출 연기 스토리 각본 등등 전부 양호~(예산에비해)잘 한것같은디.. 특히 스토리면에서 전혀 어색하지않게 잘 만든거같은데....
60,몽환적인 심리적공포를 너무 잘살려내서 좋음
61,오히려 게임이 원작이되어서 시너지가 터진 영화. 시각적만족도가 너무너무 높다. 레어한 영화가 메이저로 탄생한 순간
62,지금까지 최고의 공포영화
63,아직 까지도  그  슬픈 장면이 잊혀지지  않네요. 있는  그대로가  아닌  내용을  이해하고 다시  생각해보면소름끼치도록  슬픈 영화에요... 곳곳의 공포를유발하는 장면또한 엄청무섭습니다.
64,내 인생에 최고로 꼽히는 영화중 하나.
65,슬프고 어두웠지만 보는내내 긴장감이 있는 좋은 영화였습니다.
66,7점대 영화는 아니라고 생각해서 10점 줍니다.
67,분위기묘사 
68,7점대는절대 아닌 영화
69,사이렌 소리 잊지못한다ㅋㅋㅋ
70,기괴하다 이젠 아름다운 영화 봐야지
71,명작. 수작. 공포물이나 고어물에 별로 관심 없는 나에게도 이 영화는 정말 만점짜리. 특히 종반부의 휘몰아치는 교회씬에서는 누구도 숨을 제대로 쉬지 못할 것...
72,게임원작으로 잘 만든 영화 는 둠과 사일런트 힐
73,알렉사에 대한 감정을 이해할수록 뭔가 심오해진다. 두려움
74,이 영환 진짜 대박 강추강추 너무오묘하고 공포스럽고 사회가 너무 잘 은유되어 반영된 영화 . 감독진짜 천재인듯
