,content
1,이런 외국 재난 영화 보면서 항상 느끼는건데... 왜 항상 여자들은 무모한 인류애나 동물보호를 위해서 동료 전체를 위험에 빠트리는 걸까?
2,다 좋은데 짐승 구하려고 뛰어나간년 볼때마다 개빡침
3,28일후 
4,포스터부터가 넘사벽
5,전기톱에 어깨 썰린 여자 불쌍해~ 제일 불쌍한 최후인듯
6,와.. 진심 좀비 영화중 최고다ㅋ 내가 본 좀비 영화가 몇개 안된다는게 흠이지만.. 스토리나 개연성 그리고 연기적인 부분에서 정말 최고다. 스릴함까지 탄탄히 갖춰서 보는 내내 손에 땀을 쥐며 봤다.
7,여자 개빡 ; cj 첨엔 싫었는데 ㅠ 대박 상남자
8,좀비영화 새벽의저주로 입문하면 다른거 볼게없다 ㅋㅋ 이게 최고거든
9,처음엔 몰랐는데 볼수록 CJ 가 제일 정상이다. 주인공 간호사는 물렸는데도  불쌍하다고 쏘지 말라고 하질 않나 ㅉㅉ
10,최고다. 정말 최고다!!  10여년이 흘렀지만 이 작품 능가하는 좀비영화는 본 적 없다. 앞으로도 없을 듯..
11,요즘 나오는 좀비영화들 반성해라 이게 2004년작품이다 이게 10년 된 좀비물이라고!!
12,이게 8.3이야? 말두안돼
13,내가 이 영화 땜에 아직 좀비영화를 뗄 수가 없다
14,이영화의 진짜주인공은 CJ다
15,좀비영화'의 관점에서 보면 10점이 아니라 12점을 줘도 아깝지 않은 영화죠... 철저히 속도감
16,28일후보다 이게 더 재밌어요.
17,마지막 탈출직전 모자쓴사람 한사람 트럭에 혼자 갗혀 마지막으로 좋은일하네요 중간부분에 그사람 하는행동보면 때리고싶드만 그래도 마지막에는 굿
18,28일 후 
19,cj 개새긴 줄 알았는데 개간지
20,부산행보다 평점이낮네요??? 아니 이게 말이됩니까
21,역대 톱 좀비 영화지 암 그렇고 말고
22,이 영화를 통해 좀비물 매니아가 되었고
23,좀비영화의 바이블~!
24,컴퓨터는 바뀌어도 새벽의저주는 항상 있다
25,아직도 새벽의 저주를 뛰어 넘고 있지 못하는 현재의 좀비영화들..
26,좀비영화중 내가 젤 좋아하는 영화.거의 10년전에봤지만 또보고싶은 영화
27,전 세계 모든 좀비영화 중에서 이 작품보다 재밌는 좀비영화가 아직도 나오지 않고 있다. 좀비영화 매니아들은 내 말에 공감할 것이라 생각한다.
28,진짜 잘만든 영화. 이정도 완성도의 좀비물 공포물 없다..
29,몇년만에 다시봣는데 지렸엉
30,걍 전기톱에 썰린 여자가 젤 불쌍해... 노인네 존나 부주의하네
31,그멍멍이새끼가뭐라고 그짓거릴해ㅡㅡ개발암여자
32,처음 본 좀비영화 이거보고 레지던트 이블보면 레지던트 이블의 좀비는 시시함
33,좀비가 등장하는 재밌는 액션스릴러공포 영화. 미적거리는 서론없이 바로 본론으로 들어가는 도입부도 깔끔했고 전체적인 내용도 괜찮았다.
34,대작!!
35,오프닝부터 경악했고
36,내가 처음 봤던 좀비영화 진짜 지렸었는데 ㅋㅋㅋ 어린나이에 엄청난 충격 미친듯이 뛰던 좀비가 어찌나 무섭던지
37,이제서야 봤는데 ㅜ cj 흑
38,엔딩크레딧의 결말도 여운남고 재밌었다 좀비영화중 최고b
39,좀비 영화 중 에서는 거의 최고 봉
40,좀비 배우들 육상선수 출신들 섭외해서 촬영했다더군요 잊을만하면 한번씩 보는데 볼때마다 밤잠 설쳐요 ㅠ
41,좀비영화중에 명작. 하지만 강아지를 구하려고 간 여자때문에 화가난다 여친 관리를 좀 했어야지 모든게 틀어짐..처음부터 그냥 앤디 먹을거 주러 트럭타고 사람이 가든가 강아지는 안건드리는데 굳이 그걸 데려오겠다고..그 ...
42,좀비물 중 손에 꼽는 수작.
43,좀비영화계의 한 획을 그은 작품
44,다시봐도 좀비물의 명작이다! 아니근데 개구하러간년은 볼때마다 빡침 ... 마지막 CJ상남자~
45,세월이 많이 흘렀지만...이걸 능가하는 좀비물은 아직 안나오고 있다....
46,최고의 좀비영화라는 명칭이 전혀 아깝지 않다.
47,이만한건없다
48,이 좀비영화를 보면 다른 좀비영화가 재미없어진다
49,이 영화는 주인공인 CJ의 성장을 그린 영화이다 두려움에 떨어 자기밖에 모르던 남자가 인간성을 배워 마지막에 용기있는 남자로 거듭나는 그런영화이다
50,좀비영화중가히최고수준 유일한 a급좀비무비
51,내가 본 좀비영화중 단연 쵝오~!!!
52,좀비영화의 지존작품QQ
53,좀비영화는 새벽의저주 전과 후로 나뉜다
54,이만한 좀비영화 또 안아오나....
55,라이언 일병구하기에 업햄이 있다면 새벽의저주에는 니콜이 있다.
56,좀비영화중 상급이라고 해서봤는데....
57,좀비영화 사상 최고의 수작
58,가장 사랑했던 것들이 너를 노리고 있다!
59,나이거패러디보고지릴뻔했었는데ㅋㅋㅋ미친패러디가더무서워
60,볼때마다 재밌어요!ㅎㅎ 하지만 볼때마다 개 찾으러간 저 여자는 3연발로  쏘고싶네요 휴
61,존나 답답하네 고구마 쳐먹은거같다 개고 동료고 일단 살아야지;; 이래가지고 뭘 살아남겠다고ㅅㅂ일찍부터 다 안 뒤1진게 신기하다
62,부산행이 이영화와 같이 네이버 8점대에 있다는게 수치...
63,2015년 10월.. 아직까지 이걸 뛰어 넘는 좀비 영화는 없었다
64,포스터부터 내용까지 이건뭐 말이필요없는 명작!
65,너무하네-.- 마지막 희망 섬에 갔는데 다 죽이냐-.- 그리고 OOO좀 짖지 말게 하지.. 어디든 짖고 난리야!! 좀비를 부르는 멍멍이의 저주다
66,절대B급영화는아님.
67,여자들이 멍청함의 장치.도구가 되는다는게 보는내내 짜증남
68,좀비 바이러스에 감염된 사람은 무조건 죽여야 된다는 잭 스나이더 감독의 냉철한 판단력이 참으로 마음에 든다 좀비 영화의 진수를 맛보고 싶다면 새벽의 저주를 보길 바란다 쓸데없는 오지랖과 억지 신파극이 덕지덕지 붙은 ...
