,content
1,입창정 개드립하나하나가 예술ㅋㅋㅋㅋㅋ장르가코미디인만큼 이건 8점대는 나와줘야한다ㅋㅋㅋㅋㅋㅋ
2,볼때마다 느끼지만 시대를 너무 앞서갔어..
3,우리 나라 코미디 영화중에 이정도 하는영화 본적있냐?? 아나 진짜 미치는줄 알았다 ㅋㅋㅋㅋㅋ 권우중 이쉥키 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
4,그럼 니가 94야 ㅅㅂㄹ아?
5,이 재밌는 영화가 평점이 왜이러지? 임창정 보는맛에 보는 1인.
6,임창정 코믹의 결정판
7,무엇을 상상하던 그 이상.....
8,소풍왔어????
9,이게 진짜 코미디 영화지ㅋㅋㅋㅋㅋㅋ 겁나웃김 ㅋㅋㅋㅋㅋㅋㅋㅋ근데 평점 왜이리 낮음? 코미디 장르영화가 웃기면 그거면되지
10,지금부터 소승과 눈마주치는 사람은 사바세계와 안녕입니다
11,의리들이 아주 으리으리해덜
12,고딩때 친구랑 심야영화로봤는데 배꼽빠질뻔한영화 ㅋㅋㅋㅋㅋ 대사중에  벽이말하는데요 대박 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
13,너 앞으로 형님이라고 부르지마
14,한국 코미디영화중 최고
15,난이거 친구랑 둘이서 극장에서 두번보고  디비디 빌려서 보고  티비에서 해줄때 또보고  완전 재밌게바써 개그코드가 나랑 딱맞네  ㅋㅋ 또보고싶다 옛날추억함시롱
16,이 영화가 지금 나왔다면 천만은 찍었겟다 대박배우들 후덜덜한 연기력 잘 짜여진 각본 영화가 주는 메세지 등 머 하나도 버릴게 없다 특히 우현을 처음 봤던게 이 영화인데 진짜 너무 웃겼다 못친소보고 댓글 달러 왔는데 ...
17,임창정 애드립 ㅋㅋ 권오중 고생 제대로 했겠다
18,진짜 임창정 구태의연한 연기랑 우현의 미친폭소연기덕분에 대폭소하면서봄 감독의 유머센스가 깨알같음ㅋㅋㅋ그리고 귀신한테 애틋해보긴 첨이야 ㅠ
19,[7점] 소풍왔어? 소풍왔어?
20,정말 재미있어요 임창정 짱임. 또 보고싶음!!
21,임창정 최고작이라 생각한다
22,다시봐도 잼나는 영화
23,겁나ㄱ웃김ㅋㅋ역시 임창정ㅋ
24,평점이 생각보다 낮네 ㅋㅋ 임창정 대박!!! ㅋㅋ 스트레스 확 풀리네 ㅋㅋ
25,임창정
26,못 박지마~~~ ㅋㅋ....이 영화 정말 사랑한다...벌써 다섯번은 더 본거 같은데..왜케 봐도봐도 재밌지...ㅋㅋ
27,임창정 참 끼가 다분해 ㅎㅎㅎ
28,임창정이 우현한테 나이 물어보는 장면에서 진짜 미친듯이 웃는걸 넘어서 울어버렸음. 진짜 최고의 장면이었음.
