,content,,,,,,,,,,,
1,해병대 전역한 사람으로서 생각보다 영화가 안무서웠구요. 오늘은 엄마랑 같이잘려고 합니다.,,,,,,,,,,,
2,라이트아웃 보고 팝콘 쏟았다던 사람인데요 사지 마시고 주워 드세요,,,,,,,,,,,
3,보다가 졸았어요. 깨보니까 응급실,,,,,,,,,,,
4,남자끼리도 손 잡고 볼 수 있는 영화,,,,,,,,,,,
5,여러분 팝콘 사들고 가지 마세요. 앞뒤옆에서 알아서 날라옵니다.,,,,,,,,,,,
6,롯데시네마 알바생인데요.  메가박스 가서 팝콘 쏟고 왔습니다.,,,,,,,,,,,
7,안경일부러 벗고 시각포기함 ^^,,,,,,,,,,,
8,ㅋㅋ별로 안무서움 매직팬티가 다 흡수해줬음,,,,,,,,,,,
9,보다가 영화관 의자에 오그라붙어서 의자되는줄,,,,,,,,,,,
10,혼자 자취하는 남자인데이 영화를 보고 짐 싸서 엄마보러 버스타고 가고있습니다.타지생활 하는분들 어머니가 그리울때 꼭 보세요.,,,,,,,,,,,
11,ㅋㅋ 내가 이렇게 겁쟁이새긴지 오늘 첨알았다 ㅋ 고냥 지려버리기~,,,,,,,,,,,
12,옆에 여성분 당신 남자친구는 당신 왼쪽 사람입니다. 저한테 오지마세요,,,,,,,,,,,
13,팝콘 좋아하는 사람인데요. 먹다 보니  팝콘 통에 나쵸랑 오징어 들어 있었습니다. 옆 뒷분 감사합니다.,,,,,,,,,,,
14,베뎃보고 다들팝콘안사면 누가팝콘을 던져주죠??ㅠ,,,,,,,,,,,
15,신촌cgv 천장에 제가 뿌린 팝콘 매달려있습니다,,,,,,,,,,,
16,아니나 cgv알바생인데 영화관에서 팝콘파티했냐 ?,,,,,,,,,,,
17,이거 무섭다고 하는 놈들 다 구라임 보는내내 무서운거 하나도 안보임 이런게 공포영화라니 촴나 DVD 나오면 한번 더봐야겠음 그때는 눈뜨고 봐야징,,,,,,,,,,,
18,영화관은 에어컨 조금더 쎄게틀어주세요 영화끝나기전에 바지말려야되거든요,,,,,,,,,,,
19,여러분들 끝나고 쿠키영상 2개 있습니다하나는 영화 끝나고 바로 나오길래 봤는데 끝나니까사람들이 다 나가더라고요 영화관에 저 혼자뿐..근데 전 엔딩크레닛까지 앉아있다가 가는걸 좋아하는데 크레닛 다 지나가고 하나 더 나...,,,,,,,,,,,
20,수녀가 자기옛날 수녀들 소개할때 수녀귀신 본사람? 소름 돋는다 그리고 영화9000원이 아깝지 않았슴 와 10점도 모자름,,,,,,,,,,,
21,8/9일 22:50분 영화 보고 우산쓰고 집에 오는데 옆에 흰색옷을 입은 여성분 갑자기 튀어나오셔서 소리질렀다....영화 너무 너무 무서웠다 (참고로 남자...),,,,,,,,,,,
22,아예 작정하고 만든 이번 애나벨임.... 시리즈 중 최고로 무서움 ....,,,,,,,,,,,
23,들어가지 말라고 하는 곳은 들어가지 맙시다..,,,,,,,,,,,
24,한쪽눈으로만 봐서 사시걸릴거같아요 개무서움,,,,,,,,,,,
