,content,,,,,,,
1,옆에서 기침을 시작하자 비로소 공포영화임을 느꼈다.,,,,,,,
2,우한코로나 때문에 관객이 인비저블...,,,,,,,
3,영화관에 나혼자 있는게 제일 무서웠다,,,,,,,
4,진짜 무섭거나 잔인한 장면 없이 공포감을 불러일으킴.간만에 진짜 재밌게 본 스릴러 영화.,,,,,,,
5,음향이랑 카메라칵도에 4점 배우 연기 4점 흑인경찰친구 근육5점 스토리 3점 결말 3점,,,,,,,
6,한국이었으면 센서등에 걸릴 놈이 미국이라 운좋았다,,,,,,,
7,재밌으면 추천 재미없음 비추천 이것좀 그만 하면 안되나? 그런 사람들 프로필 드가봐요 다 그런 댓글만 있음 영화를 더럽히는 댓글들임,,,,,,,
8,가장 놀란 부분 : 개밥그릇 발로 찼을 때,,,,,,,
9,이거 보고왔는데 눈치 없는 울집 강아지 허공에 대고 짖길래ㅜㅜ 벌벌 떨면서 담요 던져봄ㅜㅜㅜㅜ 진짜 무서워 죽을뻔,,,,,,,
10,투명인간보다 더 무서운 여주인공,,,,,,,
11,환공포증 걸릴뻔했네....,,,,,,,
12,강아지 죽을까봐 보는내내 불안했음 마지막에 편---안,,,,,,,
13,여주 표정연기 미쳤다 내가 더 몰입되,,,,,,,
14,세실리아가 부릅니다,,,,,,,
15,귀신나오고 말도안되는거 싫어하는데 이건 스토킹과 현대과학이 섞여 현실감있었다.. 결론도 사이다에 스토리전개도 빠르고 자극적이고 이시국에 영화관간게 안아까웠다,,,,,,,
16,지금 봐라 코로나 때문에 극장에서 혼자 봄,,,,,,,
17,미쳤다 그냥..개꿀잼이에요우리나라 흔해빠진 공포영화라는 차원이다름;보고 배우세요 제발,,,,,,,
18,여자친구가 더 무서워요,,,,,,,
19,와 여주 연기력 미쳤다.. 외국인이 연기 잘한다고 느껴진 건 이번이 처음...영화 존잼!,,,,,,,
20,이 영화가 진짜 무서운 건 익숙한 공간이 낯설어지다는 것 같음,,,,,,,
21,미국영화 특) 여주가 찌질하다가 막판에 걸크오짐,,,,,,,
22,별로 기대안했는데 진짜 재밌었어요 처음부터 끝까지 계속 긴장감있고 흥미진진해요 보면서 계속 이 사람이 말하는게 근데 사실인가 아님 저게 사실인가 의심이 드는 영화이기도 하고요 추천합니다!,,,,,,,
23,대전 롯데백화점 시네마. 3월 10일. 4시30분 영화. 나까지 관객 총 6명. 맨끝줄 구석에 앉은 여자 두명 겁나 떠드네. 지들은 속닥거린다고 했겠지. 그 속닥거르는게 신경 엄청 쓰임. 그런 에티켓으론 다시 극장오...,,,,,,,
24,업그레이드 감독이라 스프라이즈,,,,,,,
25,언니는 왜죽여 나쁜놈아결말이 마음에 들어서 추천영화관에서 봐야함BGM이 사람미치게함,,,,,,,
26,역시 믿고 보는 겟 아웃 제작진이네...진짜 시간 어떻게 가는 줄 모르고 봤다ㅋㅋㅋㅋ존잼bb 여주 연기 미쳣음,,,,,,,
27,흑인 몸 쩔어 진심으로!!!!,,,,,,,
28,무섭게 재밌다 추천 아니다 비추천,,,,,,,
29,공포영화라기보단 스릴러 영화로 재밌고 무서웠다,,,,,,,
30,영화 끝나는 순간 내 주위에 누군가 있음을 자각하게 된다.,,,,,,,
31,재밌게 무섭..딱 맛있게 매운 느낌 여주 연기 진짜 미쳤나는 재밌었는데 부모님은 그저 그렇다하심,,,,,,,
32,솔직히 무서운건 겟아웃,,,,,,,
33,영화에나오는집 전망 죽여줌 그냥 저 집에서 살고싶다.,,,,,,,
34,영화 시작하기전 앞좌석 커플이 떠든다영화가 시작해도 계속 떠들까봐 무서웠다,,,,,,,
35,연출과 연기가 쫄리긴 한데 모든걸 통제하며 살아가는 애드리언이 그 소중한 투명인간 수트 1벌 잃어버린걸 왜 놓치고 방심하고 있었는지...,,,,,,,
36,마지막에 여자연기하는거 소름...,,,,,,,
37,진짜 오랜만에 공포봤는데 너무 무섭네요 반전에 놀랬고 초반에 여자가 우유로? 사다리쪽에 부었을때 무슨 검은물체보고 진짜 기겁했어요,,,,,,,
38,최근 본 영화중에 가장 인상깊었음,,,,,,,
39,역시 질질짜는 국산보단 강인한정신의 미쿡여성답답함이 없었음,,,,,,,
40,서프라이즈 볼만하네요,,,,,,,
41,★꼭 보세요 아까봤는데 긴장의 끈을 놓을수 없어요★,,,,,,,
42,무섭고 재미잇어여~ 무서워도 볼 수 잇엇던 이유는 나를 스토킹해줄정도로 날 좋아해주는 남자가 이세상에 없어서,,,,,,,
43,집착할이유가있었나요?,,,,,,,
44,마지막반전은 좋았으나 잔체줄거리가 답답하고 지루하게 느껴졌네요,,,,,,,
45,와~여주인공 연기 대박. 올해 본 최고의 스릴러 영화!,,,,,,,
46,처음부터 끝까지 긴장하게하는 영화.그런데 첫장면에서 잘 때 파도소리 무엇 방음실화?;,,,,,,,
47,왜 여주가 그렇게 생긴 사람으로 캐스팅 했는지 보면서 알게 되는 영화,,,,,,,
48,분위기 미쳣다 ㅡㅡost도 잘뽑고.. 연기도 좋음. 볼만함,,,,,,,
49,귀신 괴물 이딴것들 안나오는데도 무섭다,,,,,,,
50,기대보단 실망이... 장르가 일반 공포영화에서 sf가 되버리는 기적,,,,,,,
51,집 좋더라..나도 저런집에서 살고싶음..강아지 안죽어서 다행,,,,,,,
52,세실리아에 몰입해서 보게되네요,,,,,,,
53,흑인옵 피지컬.. 10점드릴게요**,,,,,,,
54,첫장면부터 너무 짜증 날 정도로 무서웠고스토리 전개와 장면과 연기 모두 말할 수 없을 정도로 긴장되고 지금까지 본 공포는 공포가 아니었음을...코로나 때문에 관람못할까봐걱정하다 마스크쓰고 나가 봄. 정말 안봄 후회 ...,,,,,,,
55,와 소름 끼칩니다....,,,,,,,
56,오프닝부터 움츠러든 어깨가 내내 펴지질 않음. 긴장감 최고!,,,,,,,
57,보고 진짜 와 이런 영화가 있구나 대박 이러면서 감탄함ㅋㅋㅋ 진짜 신선하고 존잼임,,,,,,,
58,이전까지 보던 스릴러와는 다른 스릴러라고 할 수 있음. 뻔한 내용일 수 있는데 여주연기+ 연출+ Bgm으로 영화 다 살림,,,,,,,
59,카메라가 움직이면 나는 뭐가 튀어 나올까 긴장한다,,,,,,,
60,눈 가린다고 사라지는 무서움이 아님.. 진짜 무서워서 중간에 나왔어요ㅠ 근데 후유증은 오래 안가더라구요. 정말 깔끔한 공포영화!!!! 소름도 돋고,,,,,,,
61,주말 황금 시간대에 20명 남짓한 관람객...예매율 1위임에도 1만명...빨리 코로나가 잡혔으면 좋겠네요.,,,,,,,
