,content,,,,,,,,,
1,깜짝 놀라는장면많음 팝콘도없이 드갔는데 무릎위에 수북해서많이먹음^^,,,,,,,,,
2,인시디어스 시리즈는 사운드가 사람을 미치게 만든다. 그러니까 영화관 가서 미리보라고,,,,,,,,,
3,앨리스 아주머니의 연기는 역시 좋았습니다.하지만 중반부터 공포가 개그로 바뀌는 것을 보았습니다 ㅠ,,,,,,,,,
4,혼자 심야보러갑니다.,,,,,,,,,
5,눈가리고 봤다 안볼수는 없으니까 손가락 사이로 봄,,,,,,,,,
6,보자고한친구랑 연 끈엇습니다,,,,,,,,,
7,여주이쁨 근데 너무놀래키네요 만원주고 CPR받는기분,,,,,,,,,
8,린사예 할머니 연기력만 봐도 10점이지,,,,,,,,,
9,인시디어스는 진짜 소리가 넘무서움,,,,,,,,,
10,진짜 역대급 무서움이다...와 역시 인시디어스네 ㄷㄷㄷ,,,,,,,,,
11,Come on,,,,,,,,,
12,사실 인시디어스 라는 영화는 시각적 공포에중점을 둔 것이 아니라 청각적인 공포와 심리적 공포를이용하여스릴을 주는 방식의 영화입니다.게다가 어느 귀신만 나오고 죽이고하는 타공포영화와는다르게 스토리,,,,,,,,,
13,와 지금보고왔는데 진심 아침부터 무서워 죽는줄알았다;; 여름에 이거 꼭 보세요 1,,,,,,,,,
14,이영화도 너랑봤으면 재미있었겠지,,,,,,,,,
15,기저귀 드립 존나하네 귀신이라고는 다 늙어 빠져서 호흡기 달고 나오는데 예라이 샌안드레아스 근육질 아빠같으면 한번 패대기 치면 바로 골로갈정도,,,,,,,,,
16,조조로 보고왔음~~아침부터 심장 쫄깃 ㅋㅋㅋㅋ아 재미져~역시 난 공포가 좋아!!,,,,,,,,,
17,1,,,,,,,,,
18,다 좋은데 악령과 싸우는 장면이 허술한게 아쉽다ㅠㅠ 귀신 튀어나오는 연출이나 사운드는 기가막힌데.. 악령과의 사투에선 왜이렇게 허접하게 연출했는지 의아할 정도. 특히 악령이 바닥으로 떨어지는 장면에선 영화관에 있는 ...,,,,,,,,,
19,평점 보고 갔는데...ㅠㅠ,,,,,,,,,
20,인시디어스 귀신이 무섭진 않다,,,,,,,,,
21,방금 보고 나왔는데 진짜 무서워요. 무서운데 엄청나게 재밌음.. 꼭 보세요!!! 진짜 지금까지 본 공포영화 중 제일 재미있고 무섭게 본듯,,,,,,,,,
22,야이뻥쟁이들아 무섭다는애들은진짜알바생이다. 무섭긴 개뿔 최악이다. 혼자집에서 야동보는데 현관문 열리는소리가 더무섭다!,,,,,,,,,
23,혼자보러가는데    공포트라우마 생길까봐 겁난다,,,,,,,,,
24,박평식 <- 진짜 평론 써놓는거 진짜 혐오스럽네 있어보이는 말투 이해안가는 글귀들,,,,,,,,,
25,방금 보고 나왔는데 남자인데도 완전 소리질렀음 ㅋㅋㅋㅋ무서워,,,,,,,,,
26,제발  애나벨   데모닉  처럼노잼아니길,,,,,,,,,
27,배경,,,,,,,,,
28,딱히 무섭지도 딱히 재밌지도 않다,,,,,,,,,
29,아니 영화 만들기 귀찮았나?평점보고 갔는데다들 도대체 뭘 보고 무섭고 지린다는건지..?일부로 보라고 그렇게 쓰셨나?,,,,,,,,,
30,심 장조림 만들뻔했네...,,,,,,,,,
31,여주인공 얼굴 이뻐서 8점,,,,,,,,,
32,20년만에 기저귀차고 영화보러갑니다.,,,,,,,,,
33,양심적으로 씁니다.시간이 아깝네요,,,,,,,,,
34,1~2랑 스토리가 잘 이어지는 것 같고 중간에 코믹한 요소들도 있어서 루즈한 감 없이 영화 시작부터 끝까지 긴장감 있게 봤네요,,,,,,,,,
35,이거 보고 기싱꿍꿔또 ㅋㅋ 인시디어스 1,,,,,,,,,
36,1편의 기발함과 2편의 치밀함 같은 건 전혀 찾아볼 수가 없다. 지루하고 따분함,,,,,,,,,
37,내가 이래서 국산공포는 절대안본다,,,,,,,,,
38,개재미없음 하나도 안무서움,,,,,,,,,
39,귀신이 사람주먹에 맞는것을 볼 수 있는영화..  스토리도 씨지도 음향도 다 별로이고 영매사 할머니의 열연만 기억남는다 안보는걸 추천.,,,,,,,,,
40,네티즌들 댓글만큼 무섭진않았다주로 깜짝 놀랬고 두번정도 쫄앗다근데 뒤는 재밌다ㅋㅋ,,,,,,,,,
41,시간 가는줄 모르고 봤네요이건꼭 극장에서 보셔야 할듯사운드 개쩜,,,,,,,,,
42,솔직히 놀래키는건 인정 사운드로.. 스토리는 완전 똥망 차라리 조쉬어린시절 얘기를 넣던가 아니면 인시디어스2 뒷얘기를 넣던가 뭔뜬금없이 상관 전혀없는 여자애나 나오고 아무리 앨리스랑 개그맨 둘 팀이루는얘기를 다루느라...,,,,,,,,,
43,같이 죽자 혼자는 억울하다.,,,,,,,,,
44,진짜개지려요 ㅠㅠ 하 정말강추요,,,,,,,,,
45,이거 한편으로 올해 공포영화 끝,,,,,,,,,
46,개재미없다 b급아니고 z급,,,,,,,,,
47,귀신보다 교통사고가 더 무서웠다... 장난하냐...,,,,,,,,,
48,오늘같이 푹푹찌는 여름날에 딱 제격인 심쿵한 공포영화!,,,,,,,,,
49,음 영화는 보고싶고  근데 막상 땡기는게 없어서 평점 보다가  이게 워낙좋아서 본건데다들 혼자 돈날린거 아까워서 10점준듯ㅎㅎ보지마세요 차라리 맛있는거 사드세요,,,,,,,,,
50,생각보다너무별로다 이게,,,,,,,,,
51,컨저링 보다 재미없음...그냥 보통..,,,,,,,,,
52,이거 보고 오줌쌀정도면 요실금을 의심해보시는게 좋을듯 하네요무섭다와 깜짝 놀란다에서 이영호ㅏ는 확실히 깜짝 놀라게 하기는 하는데 무섭다고 생각이 든적은 한번도 없었어요.,,,,,,,,,
53,뭘본건지모르겠수다 공포인줄알았는데 갑자기 훈훈한휴먼드라마,,,,,,,,,
54,최근들어 가장재미없는영화,,,,,,,,,
55,노잼임ㅋ아주그냥저급ㅋㅋ,,,,,,,,,
56,안무서워요 보지마세요,,,,,,,,,
57,느무느무 무셔웠지만 재밌었어요!! 간만에 공포 영화로 심장 마사지 했네 ㅋ,,,,,,,,,
58,공포 영화 잘 못 보지만 넘 보고 싶어서 봤는데... 넘 무서웠어 ㅠ,,,,,,,,,
59,남자들만 소리지르고 무서워하던뎅...진심 하나두 안무서웧.,,,,,,,,,
60,정말 노잼의 극치... 한국 공포영화보다 안무서운 공포영화는 처음보는듯 인시디어스는 1만 보고 끝냈어야해...공포물,,,,,,,,,
61,호불호 개갈림 친구들은 무섭다는데 저는 해리포터보는줄,,,,,,,,,
62,인시디어스' 영화의 특징이 뭐냐면,,,,,,,,,
63,알바가 많은듯 소리때문에 두세번 놀라고 지루한 스토리 후영화 끝남,,,,,,,,,
