,content,,,,,,,,,
1,남자셋이손잡고봤다...,,,,,,,,,
2,이런게 진정한 공포 아닐까나?ㅎㅎ 무조건 귀신 괴물 나와야 공포영화라고 생각 안함. 이런 분위기와 소리로 공포 느낌을 주는게 진정한 공포영화라고 생각함ㅎㅎ 분위기가 진짜 뭔가 나올꺼같은 음산함.......좋았움ㅎㅎ,,,,,,,,,
3,아.. 무서운 장면 안나온다며.. 이리 무서운 영화 처음보내,,,,,,,,,
4,와우~이거야말로 진정한 공포영화다....보는내내 소름이 오싹...보시면 후회하실겁니다,,,,,,,,,
5,낮의 소중함을 알게해준 영화였다,,,,,,,,,
6,간만에 찾아온 공포가 이리 무서울줄이야ㅋㅋ,,,,,,,,,
7,자신이 혈압이 높다 심장이 안좋다 하는분들은 조조로 보시거나 안보시길 권함 20대 중반으로써 자대배치 받을때 빼고 이런 공포는 처음,,,,,,,,,
8,최고다,,,,,,,,,
9,누가 무서운장면없데ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,,,,,,,,,
10,아 진짜 옷장위에 귀신.. 진짜 때리고 싶어.. 개쫄았어,,,,,,,,,
11,왠놈이 비명 지르는 바람에 박장대소했네 ㅋㅋㅋㅋㅋ,,,,,,,,,
12,진짜 무섭고 다좋았는데 관객들 수준이진짜  무서운장면 나와서 잠깐 시끄러운건 상관없는데 집중해야될때도손뼉을치지않나 욕을하질않나 인물들이 귀신소리 따라가면 가지말라고 크게말하질않나 진짜 다른사람들생각해서 그러지좀마라 ...,,,,,,,,,
13,롯데시네마에서 조조로 혼자봤다..  아무도 없이 ㅡㅡ 진짜 지린다 넘넘 무섭다응  ㅎㄷㄷ..,,,,,,,,,
14,아역배우들 예쁘더라,,,,,,,,,
15,무서운 장면 없이 무섭다는 소리는 헛소문. 초혐오 ㄷㄷ,,,,,,,,,
16,공포감을 주는 효과가 굉장하네요 엑소시스트랑 파라노말액티비티를 섞은 느낌 돈이 아깝지 않네요,,,,,,,,,
17,관객이 몇명 없어서 내옆자리에 귀신이 앉아있나해서 몇번을 확인했음.후덜덜,,,,,,,,,
18,아니어떻게처음부터끝까지무서울수있죠??이때까지본공포영화들은 무서운것도아니라고 생각하게되는 영화다 최근 숨바꼭질이랑은 비교도안되게 무서운듯해요,,,,,,,,,
19,자고잇을때 누가내발잡아댕길거같다...,,,,,,,,,
20,존나무서워 무서운장면이업다고 개구라침 존나 다들보고 한번지려보ㅏ,,,,,,,,,
21,나랑 숨바꼭질 할래요?(짝.짝.),,,,,,,,,
22,귀아픈 사운드와 흉칙한 귀신 얼굴을 비춰서 놀라게 하는 등의 공포감 조성,,,,,,,,,
23,심장이 바운OO운스,,,,,,,,,
24,조금씩 조여 오는 공포감과 후반부의 짠~함까지...극의 전개가 매끄러우며,,,,,,,,,
25,나도 롯시에서 조조로혼자봄 오줌쌀정도는아니었구 두려움에 북받쳐서 클라이막스에서 울정도?여주인공이 신뢰가가는 배우라이번영화도 좋더이다,,,,,,,,,
26,혼자가지마세요 꼭1인이상같이가셈내가봤던공포중베스트1,,,,,,,,,
27,최근본 공포중에서는 최고,,,,,,,,,
28,뻔한 내용을 잘 풀어 만드는 것도 재능이다.,,,,,,,,,
29,남자친구랑 보다가 기절하는줄 알았습니다. 영화에서 밤이되면 그 긴장감..말로 표현할수없습니다.. 절대혼자보지마세요 ㅋㅋ 친구나 연인이랑 같이보세요,,,,,,,,,
30,졸라 밤낮없이 무섭냐,,,,,,,,,
31,명불허전,,,,,,,,,
