,content
1,미안하지만 난 너희를 위해서 멕시코 사람 전부를 죽일 순 없어.
2,맨 처음에 올리비아가 도덕적 딜레마를 질문받았을 때 자기가 희생하더라도 사람을 많이 살리는 쪽으로 선택했지만 현실은 반대임을 알려주는 영화
3,게임이 인도랑 중국 돌다가 지치겠는데..?
4,올리비아를 첨부터 좋아했었다더니 마키를 사랑한대 먼말이여 ㅅㅂ
5,영화끝나고 영화속 그 표정 지어본 사람?!?!
6,팝콘
7,마지막에 친구 둘하고 남았을 때 친구들한테 진실하라고 시킨다음에 악마 지목했을 때 도전하게끔 만들었다면...? 그렇다면 게임을 끝내란 도전을 시킬 수 있지 않았을까..?
8,유튜브로 시작해 유튜브로 끝난 영화
9,참 영리한영화 끝까지 끌고가는 연출력 지린다 새롭당
10,집짓기 봉사한다던애가 지구인 말살 ㅋㅋ
11,주인공에게 처음한 도덕적딜레마에 관한 질문이 결말부분에선 또 저렇게 되버린다는게 시작과 끝은 매우 훌륭한 영화임 리얼루 중간중간은 다 예상가는 내용지미나
12,오우야 이거 친구가 따라햇는데 개똑같아서 열심히 때림 오늘은 안방가서 자야지 ^!^
13,아니 칼룩스 새끼 샘이 지 혀 자르고 있는데 가서 죽이는건반칙 아니냐jQuery22407510732121666157_1531412710835 악마란 새끼가 존나 야비한 새끼네 이거
14,맨처음 올리비아는 도덕성 질문에 대한 답변으로 친구들의 목숨보다는 멕시코 전체의 인구의 사람들을 택하겠다고 하였다. 하지만 결말을 보면 ㅎㄷㄷ 하네요..
15,낮은 평점보고 마음 바뀌지마세요 절대로!!!!세계종말론으로가는 결말의영화.                 레알 ㅈㄴ 재밌다            일단 곤지암보다 히트칠 영화.
16,별점 10점을 선택한 사람들은 도전에 응한 것이고 나는 진실에 응한다
17,진짜 재밌었다 ㅋㅋㅋㅋ 근데 결말이 너무 허무한건가..? 다 재밌었는데 결말이 좀 재미없어서 아쉬운 영화 ㅠ
18,킬링타임으로 최고. 보는 내내 쫄깃쫄깃해짐. 완전히 정확한 비유는 아니지만 몇 달 전에 본 영화 주만지의 청불버전 같은 느낌
19,처음부터 끝까지 긴장감을 놓을슈가업음 넘 무섭 ㅠ_ㅠ
20,개띵작 그냥 보세요 그냥
21,흔한 음식으로 고급 음식을
22,경찰관 아빠 너무 불쌍하자낭
23,8점대 영화는 절대 아님
24,소재는 좋았지만
25,15세보다 19세하지그랫냐
26,난갠찮개재밋개밧는대
27,겟아웃 해피데스데이 다봤지만 트루스 오어 데어가 진짜 명작인듯ㅠㅠㅠ 두번보세요
28,존.나 비급영화같음뭔 그놈의 악령은 ;;;전개도 너무 빠름
29,게임의 일관성이 없고 사족이 덕지덕지 붙어서 내용이 엉망이네요
30,돈 날렸다. 하나도 안 무섭고 3명 남을 때부터 개노잼이 시작된다
31,뭐 하나도 무섭네...ㄷㄷ
32,악마 ㅈㄴ 바빠지겠네 ㅋㅋㅋ
33,이거 재밌어용♡ 하지만시리즈로 나온다면 좋겠지만 오래끌진않았으면 좋겠네용 그럼 흥미랑 재미랑 전부떨어질꺼같거든요^^;;;;
34,솔직히 진짜 무서웠음ㅠ ㅏㅛㅗ
