,content
1,재밌네..ㅎㅎ 이정도면 수작인걸.. 비쥬얼도 좋고
2,전문가평점은 얼어죽을..그냥 지들 상상력 감성에 안맞으면 쓰레기취급하는거지..함부로 전문가 평점이란 란 단어 쓰지마라
3,진짜 재밌고 결말도 맘에 들어요 이런 류는 결말이 항상 맘에 안 드는데 이건 아니라서 좋으네요!
4,무쟈게ㅠ재밌음
5,와우! 간만에 SF물중 최고!
6,절대 씨네21 평단은 믿지 말아라. 제목이 팬도럼 답게 우주공간에서의 극한의 폐쇄공포증을 보여준다. 그것을 액션으로 승화하여 재미는 두배
7,이 영화 B급 생각하고 봤는데 장난아니고 엄청 대작입니다. 긴장감도 죽여주고 옛날에 에이리언시리즈 만큼이나 몰입하면서 봤습니다.  스토리와 공포
8,기자 평론가 점수가 왜이리 낮지? 정말 괜찮은 영화인데..
9,지겹다 평론가들의 평점놀이. 도대체 누굴 위한 평점이냐?   저건 뭐 테러수준이네
10,왜 전문가들  평점이 낮은지  모르겠다  이정도면  훌륭하다  에휴  영화 평론가들  이란  존재는   지들은  감독하고 싶었는데  감독이  못된  놈들이나  하는거지 ㅉㅉ  그러면서  비판을   엄청 잘한다  자기...
11,저예산으로 이 정도의 퀄리티를 뽑아냈다는 것 자체가 합격점 아닌가? 기자
12,완전 꿀잼인데 전문가평점은 왜 이럴까요? 진짜 이해가 안되네요
13,저평가 받는 영화
14,개 대박임 완전 쩌는 영화인듯
15,평론꼰대들은 영화 까는 낙으로 사니.. 이해는 된다만.. 수준은 좀 갖추길 바란다.. 요새 젊은 사람들이 얼마나 똑똑한데.. 근본도 없는 미학으로  뭘 평가한다는건지.. .미술평론이면 몰라도..듣보잡대에나 있는 영화...
16,난 존나재밌게봤는데?
17,마지막 타니스 행성의 모습이 보여지는데 지구랑 같은 모습인데도 신비하게 보여지는 이유는 뭘까.
18,어둠으로 시야를 가리는 연출은 굉장하지만 지능적이진 않다. 설정과 스토리 모두 훌륭하지만 곳곳에서 보여지는 B급의 향기가 아쉬움을 남김. 마지막 반전은 합격점.
19,몇년이 지나도 잊혀지지 않는 걸작이구만... 평론가 말은 믿을게 못된다는게 인증되고 있다 ~!
20,평론가들평점개짜노 이만하면 볼만하네
21,솔직히 스릴러물인데 이정도면 존니 잘만든거다 게다 sf라니. 너무 어둡다 징징
22,지무비 보고 온 사람 손!!!
23,보고나서 결말 검색하게 만드는 영화...재미지다~
24,영화 보고 지릴 뻔 했다.. 특히 후반부 몰입도가 매우 높음
25,씨네 21평 왜 저렇지: 잘 만든 영화입니다.
26,정말 저 평가된 영화 봐 보면 기자를 알아서 욕하게 된다
27,마지막 생존자들을 바탕으로 영화가 많은데
28,생존을 위한 탈출이라는 단순한 플롯인데 우주밀폐공간+갈수록 새롭게 등장하는 인물들+미지의 존재의 조화가 좋다 특히 초반에 낯선 공간에 혼자 떨어져 보일듯 말듯한 괴수를 상대하는 긴장감이 절정. 여러 궁금증을 안고가는...
29,생각보다 훨씬 볼만하네요. 몰입도도 상당하고 결말도 신선하고 영화자체도 잘 만든 것 같아요
30,와 sf를 이렇게 숨졸여가며 본건 처음이다... 진짜 명작
31,오  팬도럼이 재개봉이라니..
32,재밌습니다. 그러니까 3점 영화는 진짜 아닙니다. 스토리도 탄탄하고
33,기자
34,이거 반전 쩐다 ㅋㅋ전혀 예상하지 못했어 ㅋㅋ
35,이거재밌음 보장함 진짜 평점 믿지마셈 평론가들
36,박평식이란 인간이 이상한 소리하며 평점 낮게준 영화는 무조건 수작임 ㅋㅋ 오히려 박평식이 평점 높게주며 띄어주는 영화는 안본다.
37,평점 3점 어떤새끼가 줬는지 안봐도 알겠네요 어렸을때 엄청난 트라우마가있나봐~ 그러니까 영화마다 저런 쓰레기같은 평을 쓰고다니지
38,개존잼.. 디스트릭트9보냐고 이거 있는지도 몰랐는데 영화관에서 돈내고 봐도 안아까웠을 것 같음
39,sf물중에서 최고의 반전
40,와 이게 한국 개봉을 이제 하네....본건 3~4년전인거 같은데
41,우연히 보게됐는데 상당히 좋아하는 장르 반전도좋고영화 흐름도 좋고 꽤 탄탄한영화 상당히재밌음
42,예전에 본거지만...갠적으로 2탄
43,평론가들이 낮은점수를 주는게 이해가는게 집단 괴물 군락지가 기괴하지만 신선한 기괴함이 아닌 진부하고 역한 기분을 느낌 하지만 전체적인 설정이 굉장히 뛰어남.
44,시간때울 생각으로 봤는데 진짜 재미있게 봤음. 짜임새도 좋고 보는 내내 긴장감도 최고! 결말도 마음에 들고 암튼 우주미스터리 외계인 이런거 좋아하면 꼭 보세요! 추천!
45,김봉석 박평식 이용철? 얘네가 전문가라고?ㅋㅋㅋ 개나소나 평론하고있네 보는 눈이 없는건지 아니면 지들만의 상업적인 세계를 예술적인 세계라고 착각하고 헛짓거리하는건지
46,스토리  캬... 간만에 재밌엇다
47,지금보는데 왠만한 sf영화대작과 비교해도 손색이 없네요
48,참 이상한거야. 생존 본능이란거. 그닥 살아야할 이유가 없는데도
49,박평식 진짜 짜증난다 이 바닥에서 퇴출시켜라
50,평식이 저놈은 뭐가 재밌을까?
51,10년이 지난 작품인데도 엄청난 몰입감이네요 볼거다보고 더이상 볼게없어 추천 작들 항해하다가 하나 건졌음 개수작임
52,이정도면 수작.  보는 내내 흥미진진했음 ㅋ
53,씨네21 전문가 평가 믿지 마세요 최소 수작이상 입니다.
54,마지막에 중국인인가 동남아사람인가는 애기 괴물한테 왜죽인겨...고생만하다 죽네 불쌍
55,요즘 나온 영화보다 훨씬 낫지
56,타임캡슐에서 2017.10.23 에 깨어났습니다 8년만이네요 생존자계신가요??
57,올해 내가본 영화중 최고임 ㅋㅋㅋ
58,우주선 디센트?
59,오올..재밌게 봤다! 우리도 어서 제2의 지구를.. 발견해야 될텐데.. 포기를 모르는 사람이 미래를 구해줬으면
