,content
1,해피데스데이 여주야말로 극한직업
2,[속편 궁예질] 1편 해피데스데이 ? 2편 해피데스데이2유 ? 3편 해피데스데이 트리 (three 아님 여주 이름 tree임) ? 4편 해피데스데이 4유
3,지금까지 이런 영화는 없었다! 이것은 공포인가 코믹인가
4,이번엔 여주가 더 빡칠만해ㅋㅋㅋ 보면 알어ㅋㅋ
5,1편이 핵사이다였다면 2편은 핵인싸급임ㅋㅋㅋㅋ
6,해피데스데이 멤버들 여기서 다시 정모 하실게요
7,작고 귀여운 내 용돈으로 또 봐도 안아까움ㅋ
8,박나래 남친 공포영화ㅋㅋㅋㅋ
9,이 집 공포 잘하네!!!
10,아니 그래서 라이언은 왜 2명 된건지 설명좀 ....
11,진짜 호러블리라는 말이 딱 맞는듯! 사랑스럽게 재밌는 영호 ㅏ였음
12,핵사이다 여주보니 속이 뻥 뚫림ㅋㅋㅋ 병맛 완전 취향저격 이대로 3편까지 고고고
13,1편 재미있게 보고 첫 개봉날 본 사람으로서 얘기하자면 돈이 너무 아까울 지경이었음. 쿠키까지 보신 분들은 알겠지만 왜 여주를 도와준 다니엘이 루프게 갇혀야 하는지 이해가 되지 않음ㅋ 불륜에 파렴치한 그레고리가 갇히...
14,진짜 무섭고 재밋고 다함... 무엇보다 남주 눈빛에 치이고옴ㅠㅠ 세상 달달
15,확실히 1편보단 웃기고 재밌음ㅋㅋㅋ
16,공포...? 코미디....? 과학....? 감동....?영화 장르가 대체 뭐죠? 다 가져가려다가 어중간하게 모두 들어가서 이도저도 아님. 뭣같은 스토리는 덤. 1편 이후 보시는 분들
17,무섭다가 웃기다가 나중에 왜 달달한거야? ㅎㅎㅎ
18,여기 댓글 다 알바인가요?? 평점만 보고 영화보고왔는데 1편에 비해 스릴도 없고 무서운장면도 없어요. 내용도 뒤죽박죽 정리가 잘 안돼있는 느낌이네요. 저랑 남자친구는 지루해서 하품을 몇번이나 했는지;; 다른 사람들도...
19,여주 완전 스프라이트ㅋㅋㅋ친구랑 같이 보는데 계속 빵빵 터짐
20,와... 이 감독 천잰데?
21,공포영화보다가 운건 처음이네
22,역시 코믹함과 공포감이 적절히 섞힌 병맛 스탈일 취향 저격 ㅎㅎ
23,1편과같은 혼이나갈듯한 긴장감 전혀없음. 빅뱅이론 섞어넣은 졸작..
24,많이 지루함. 장르자체가 바뀜. 1편도 사실 7점급 영환데 소재가 참신해서 뜬 걸 모르고 이걸 살린다고 2편을 무게감 있는 영화로 만들려고 애 쓴 게 보임. 스토리 자체에 설정상의 오류가 많고 그렇다 보니 억지설정도...
25,즈기여... 공포영화인데 이렇게 웃기고 설레기 있음?
26,1편 만큼 못하겠지 했는데 형만한 아우 있네요 꿀잼ㅎㅎ
27,ㅎㅏ.. 한숨 쉬신분 좋아요 ㄱ..
28,개빡치네 진짜 알바놈들ㅋㅋㅋ솔직히 1은 잼있었지. 근데 2는 쫌 아니잖아 기대하고. 봤는데 개 씹..하. 시간내서 영화보러 간게 아깝다 . 차라리 7광구가 더 스릴있겠다 그래도 1편은 꿀잼영화라서 2점준다
29,엄청나게 쇼크걸릴듯요.몇번을 죽여ㅋㅋㅋㅋ
30,베이비 가면 가지구 싶당 베이비 얼굴만 핵귀요미 ㅎㅎ 리얼 재미져 재미져~ 쓰리는 안나오남... ㅎ
31,1 보고 보는 걸 추천 함. 안 보면 이해하지 못할 요소가 있다. 하지만 짧은 러닝타임에 너무 많은 스토리를 욱여넣은 느낌이 강하다. 그리고 스토리가 너무 꼬이고 꼬였음. 근데 연기도 좋고 볼만은 함!! 근데 여주....
32,친구랑 봤는데 너무 재밌고 무섭고 스토리도 있고... 남친이랑 보면 좋을 것 같다..ㅎㅎ
33,그냥너랑봐서좋았다.
34,공포영화지만 재밌고 웃겨서 남자친구랑 데이트 무비로 좋을 것 같음!!
35,로맨틱 코미디인줄 
36,구라 안치고 여기 댓글다 알바다혹여나 보려 갈려거든진짜 가지마라 이 글 보고 고민 된다면가지마라삼류도 못되는 영화같았다.
37,진짜 별점1점도 아깝다 코미디도 아니고 로맨스도 아니고 공포물도 아닌 이도저도 아닌영화. 몰입력도 중간중간 엄청 깸. 문화의날5000원주고 보기도 아까운 영화.
38,여러분
39,스카이 다이빙이 젤 웃김 ㅋㅋ 보면 암
40,개연성은 1편에도 없었는데 왜 갑자기 개연성을 찾냐.. 기대만큼 재밌었어요!
41,얼씨구 절씨구 베이비 죽지도 않고 또 왔네 ! 근데 또 와서 너무 좋다 ㅜㅜ   이번에도 졸잼이야
42,호러와 코미디의 만남! 역시 실망시키지 않앗음
43,영화의 반 이상이 코미디
44,이딴게 재밋냐 돈 아까워 죽을뻔
45,지금까지 이런 공포 스릴러는 없었다. 트리가 베이비를 잡는것인가
46,공포를 기대하고 갔는데 1편보다 덜무서웠고(갑툭튀 있음) 생각보다 감동적이고 여운이 좀 남았던거 같아요.. 소재는 진짜 짱임 그리고 영화가 짧아서 아쉬웠음 ㅠㅠ 뺑반보다 1000배나음
47,예고편 보고
48,효도
49,ㅋㅋㅋ꿀잼. 1편보다 더 강렬하고 재밌었다. 시리즈물로 계속 나왔음 좋겠다.
50,남주랑 여주 둘다 1편보다 미모 미쵸따ㅠㅠㅠㅠ미모도 터지고  사이다도 터짐
51,1편도 잼났지만 2편이 더 잼나네요~ㅎㅎ
52,이 씹 재미없는거 알바 ㅈㄴ많네 이게 재밋냐 미친
53,1은 노개연성이라도 스릴이 있는데 2는 그냥 노개연성에 스릴도 빠졌어요 주인공 캐붕에
54,여주 멘탈 강하고 쎄고
55,1편보다 왕잼! 짱잼! 대박잼!
56,여주 예쁘고 재밌고 감동도잇슴
57,공포와 코믹의 적절한 조화였다ㅋㅋㅋ
58,진짜 개재밌어용!! 대박 최고의 공포영화인듯 ... 추천합니다
59,여주 너무 예쁘고 영화도 웃김. 공포랑도 잘 어울리네
60,1편보다 2편이 나은 거 같음
61,핵노잼 핵노잼 핵노잼 핵노잼
62,1편의 호러와 코미디 그리고 액션 + 과학 기대한 보람이 있음ㅋㅋ 근데 1편은 보고 봐야될듯.. 3편 빨리 나왔음 좋겄네ㅋ
63,여친이랑 꼭보세요 ㅎㅎ..
64,존잼 무섭고 웃기고 베이비 혼자 다하네
65,아니 진짜 영화 너무 ㅠㅠ잘 만들어  공포 코믹 감동 로맨스 다하는 영환대 어찌냐 진짜 이건 꼭 봐야함 ㄹㅇ
66,역시 신박한 영화!! 웃기고 재밋음ㅋㅋ
67,무서운데 귀엽고 웃기고 베이비가 다했다
68,여주 다시 월요일에 돌아온 거 때문에 엄청 화나서 우당탕탕 걸어가는 거 어케 진짜 ㅋㅋ ㅋ 진짜 말로만 공포지 코믹/가족에 가까웠음 재밌게봤어요
69,신선하다 이런 영화 ㅋㅋㅋ
70,1보다 무서움은 줄어들고 감동과 유머는 늘어났다.여전히 흥미로운 영화임에는 틀림없다.
71,2가 나올줄은 몰랐는데 ㅋㅋㅋ 진짜 무서운데 재밌고... 뭐라 말할 수는 없지만 꿀잼!!
72,최근 본 루프물 중에서 제일이었음ㅋㅋ 1편 본 사람이라면 꼭 봐야함
73,24000원주고 보다 내눈이 아까워서 나옴 이거쓸라고 1점주는것도 아까움
74,아... 1편이랑은 너무 다르다
75,아니 영화 첫타임이 9시고 지금 1시간도 안됫는데 영화 본 척하고 평점 낮게 주는 것들은 뭐임ㅋㅋㅋ 너네야말로 알바아니냐
76,그냥저냥 볼만하긴한데
77,주인공 성격 너무 매력적이얀ㅋㅋㅋ
78,남자주인공이 잘생겼어..흐뭇ㅋㅋㅋ공포인줄 알았는데 완전 코미디
79,지금까지 이런 영화는 없었다!
80,너무기대햇나.. 일편재밋어서 세번봤는데 재밋긴했는데 일편때의 그신선했던 쇼크보다 별로
81,해피데스데이 1편이 낫다 공감 vs 헤피데스데이2가 낫다 비공감 눌러 주세요^^
82,2편까지 꼭꼭 보셔야합니다! 너무 재밌어ㅠ
83,1에서 멈췄어야 했어 아  개지루  이게  공포영환지 과학영환지 1편에 비해 진짜 노잼  아 3도 나온다면  딱봐도  개망예정
84,평점 0이없어서 1점줌 댓글알바의무서움을 깨달은영화
85,관객들이 이 영화를 호평했던 포인트를 감독이 전혀 잡지 못했음 왜 굳이 좋았던 영화를 망쳐놓는지
86,이영화의 몰입력. 즉
87,나도 엄마가 안계십니다. 가끔 꿈에서 엄마를 만나고 깨고나면 십몇년이 지났음에도 정신을 차리지 못합니다. 내가 저런 장난에의해 엄마를 만난다면 나는 저렇게 뒤엉켜 있음에도 왠지 돌아가지 않을거 같습니다.
88,나는 개인적으로 너무 재밌게봄 1편보다 훨씬 지밌음
89,공포스러운 코미딬ㅋ 내 기준에 굉장히 신선했던 영화임
90,개같은 영화 개같은 영화 열자 채웠다 ㅅㅂ
91,원래 2기는 재미 없는게 대다수라 기대 안하고 봤는데 생각보다 너무 재밌었어요ㅎㅎ 여주 자살하는 장면이 왤케 좋지..초반엔 코믹한데 후반엔 음..감동..?뭔진 모르겠지만 이건 장르가 공포가 아니라 여주 성장물 같음....
92,그냥 1편으로 끝냈어야 하는영화..솔직히 하이틴영화라 하는게 더 괜찮을듯
93,영화보는 동안 완전 지루하고 개노잼임
94,내가 영화관가서 본 영화중에 제일 재미없었다ㄹㅇ
